,Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_euros
0,1,300,4,7,3,8,37,3,8,6,0,1,1,1,14,40,4,0,3,2,2,60,1339.69
1,1,301,4,7,3,8,34,3,1,1,0,0,0,1,8,40,4,0,0,2,2,53,898.94
2,7,50,3,14,3,4,72,1,3,2,0,0,0,1,16,46,7,0,3,2,2,55,575.0
3,1,300,4,13,5,8,69,3,10,7,0,1,1,1,18,54,10,0,3,2,0,80,2537.45
4,1,300,4,7,3,8,37,3,8,6,0,1,1,1,22,40,7,0,3,2,2,61,1803.6
5,0,58,3,14,1,5,93,3,0,0,0,0,0,0,21,11,8,0,1,2,0,88,400.0
6,1,300,4,13,5,3,87,3,10,7,0,1,1,1,13,54,7,0,0,2,2,62,2139.97
7,1,301,4,7,3,8,34,3,1,1,0,0,0,1,8,40,7,0,0,2,2,53,1158.7
8,2,608,4,10,5,5,31,1,3,2,0,0,0,1,8,70,10,0,3,2,3,40,1495.0
9,0,430,4,10,3,5,55,1,3,2,0,1,0,1,7,53,7,0,3,2,2,109,770.0
10,7,50,3,14,1,4,72,3,0,0,0,0,0,1,16,46,8,0,1,2,2,55,393.9
11,7,50,3,14,1,4,72,1,3,2,0,0,0,1,11,36,8,0,1,2,2,49,344.99
12,1,300,4,13,5,8,69,3,10,7,0,1,1,1,19,54,7,0,3,2,0,81,2439.97
13,4,239,3,14,1,5,102,1,3,2,0,0,0,1,11,36,7,0,3,2,0,95,498.9
14,1,298,4,3,3,8,3,3,6,4,0,1,1,1,3,33,7,0,3,2,2,54,1262.4
15,1,300,4,7,3,8,37,3,8,6,0,1,1,1,14,40,7,0,3,2,2,60,1518.55
16,4,239,3,14,3,5,102,1,3,2,0,0,0,1,18,62,7,0,3,2,0,95,745.0
